Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-17,2022,01,17,,-4.2,,-16.1,,-10.2,,28.2,,0.0,,0.4,,47.8,,30.4,,12,,5,,49,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-18,2022,01,18,,-9.7,,-23.1,,-16.4,,34.4,,0.0,,0.0,,0.0,,0.0,,52,,30,,55,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-19,2022,01,19,,-2.9,,-17.3,,-10.1,,28.1,,0.0,,0.0,,5.3,,3.4,,52,,31,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-20,2022,01,20,,-12.3,,-25.2,,-18.8,,36.8,,0.0,,0.0,T,0.0,,0.0,T,52,,30,,55,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-21,2022,01,21,,-17.7,,-30.2,,-24.0,,42.0,,0.0,,0.0,,0.0,T,0.0,T,51,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-22,2022,01,22,,-16.8,,-29.6,,-23.2,,41.2,,0.0,,0.2,,0.0,T,0.2,,51,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-23,2022,01,23,,-11.9,,-24.3,,-18.1,,36.1,,0.0,,0.0,,0.2,,0.2,,49,,29,,35,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-24,2022,01,24,,-14.2,,-29.8,,-22.0,,40.0,,0.0,,0.0,,1.0,,0.6,,48,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-25,2022,01,25,,-10.4,,-20.3,,-15.4,,33.4,,0.0,,0.0,,1.4,,0.6,,50,,30,,36,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-26,2022,01,26,,-17.8,,-27.6,,-22.7,,40.7,,0.0,,0.0,,0.0,,0.0,,49,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-27,2022,01,27,,-4.2,,-25.3,,-14.8,,32.8,,0.0,,0.0,,2.6,,1.2,,46,,19,,46,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-28,2022,01,28,,-4.3,,-22.6,,-13.5,,31.5,,0.0,,0.0,,0.0,T,0.0,T,48,,32,,53,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-29,2022,01,29,,-12.5,,-24.5,,-18.5,,36.5,,0.0,,0.0,,0.0,,0.0,,48,,33,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-30,2022,01,30,,-10.1,,-22.2,,-16.2,,34.2,,0.0,,0.0,,0.0,,0.0,,46,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-01-31,2022,01,31,,-6.2,,-18.8,,-12.5,,30.5,,0.0,,0.0,,0.0,,0.0,,44,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-01,2022,02,01,,-0.4,,-18.7,,-9.6,,27.6,,0.0,,0.0,,0.0,,0.0,,43,,20,,41,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-02,2022,02,02,,3.7,,-1.3,,1.2,,16.8,,0.0,,2.4,,0.0,T,2.4,,42,,19,,34,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-03,2022,02,03,,0.3,,-12.4,,-6.1,,24.1,,0.0,,0.4,,3.4,,2.4,,36,,32,,45,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-04,2022,02,04,,-10.8,,-14.4,,-12.6,,30.6,,0.0,,0.0,,2.6,,1.6,,36,,2,,32,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-05,2022,02,05,,-14.2,,-22.5,,-18.4,,36.4,,0.0,,0.0,,0.0,,0.0,,34,,26,,35,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-06,2022,02,06,,,M,,M,,M,,M,,M,0.0,,0.0,T,0.0,T,34,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-07,2022,02,07,,-1.1,,-12.6,,-6.9,,24.9,,0.0,,0.0,,0.0,,0.0,,33,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-08,2022,02,08,,-1.5,,-8.2,,-4.9,,22.9,,0.0,,0.0,,0.0,T,0.0,T,31,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-09,2022,02,09,,-0.4,,-13.8,,-7.1,,25.1,,0.0,,0.0,,0.0,T,0.0,T,30,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-10,2022,02,10,,3.4,,-2.7,,0.4,,17.6,,0.0,,0.0,T,0.0,,0.0,T,28,,28,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-11,2022,02,11,,4.1,,-1.1,,1.5,,16.5,,0.0,,2.0,,0.0,,2.0,,28,,18,,51,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-12,2022,02,12,,2.1,,-18.9,,-8.4,,26.4,,0.0,,0.2,,2.0,,1.5,,20,,28,,58,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-13,2022,02,13,,-15.0,,-22.9,,-19.0,,37.0,,0.0,,0.0,,0.0,,0.0,,22,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-14,2022,02,14,,-14.8,,-24.3,,-19.6,,37.6,,0.0,,0.0,,0.0,,0.0,,21,,26,,32,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-15,2022,02,15,,-9.3,,-18.8,,-14.1,,32.1,,0.0,,0.0,,0.2,,0.0,T,21,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-16,2022,02,16,,6.3,,-14.9,,-4.3,,22.3,,0.0,,0.0,,0.0,,0.0,,21,,20,,60,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-17,2022,02,17,,5.8,,-6.7,,-0.5,,18.5,,0.0,,13.7,,9.0,,20.1,,14,,36,,51,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-18,2022,02,18,,-6.7,,-18.1,,-12.4,,30.4,,0.0,,0.0,,7.0,,4.2,,28,,32,,56,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-19,2022,02,19,,-1.3,,-16.8,,-9.1,,27.1,,0.0,,0.0,,6.4,,4.0,,31,,27,,67,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-20,2022,02,20,,3.6,,-20.3,,-8.4,,26.4,,0.0,,0.0,,0.2,,0.2,,35,,22,,51,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-21,2022,02,21,,3.8,,-7.0,,-1.6,,19.6,,0.0,,0.0,,0.0,,0.0,,31,,7,,50,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-22,2022,02,22,,-0.2,,-9.2,,-4.7,,22.7,,0.0,,4.5,,0.0,T,9.1,,31,,6,,46,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-23,2022,02,23,,1.0,,-15.2,,-7.1,,25.1,,0.0,,0.0,,0.4,,0.2,,28,,29,,61,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-24,2022,02,24,,-9.9,,-17.8,,-13.9,,31.9,,0.0,,0.0,,0.0,,0.0,,28,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-25,2022,02,25,,-10.3,,-20.1,,-15.2,,33.2,,0.0,,0.0,,17.2,,10.8,,28,,6,,52,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-26,2022,02,26,,-3.7,,-23.1,,-13.4,,31.4,,0.0,,0.0,,0.0,T,0.0,T,45,,22,,45,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-27,2022,02,27,,-0.4,,-14.4,,-7.4,,25.4,,0.0,,0.0,,0.6,,0.4,,44,,34,,62,
-75.67,45.32,OTTAWA INTL A,6106001,2022-02-28,2022,02,28,,-10.8,,-19.5,,-15.2,,33.2,,0.0,,0.0,T,0.0,,0.0,T,45,,32,,33,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-01,2022,03,01,,-9.3,,-16.2,,-12.8,,30.8,,0.0,,0.0,,4.6,,3.0,,44,,7,,33,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-02,2022,03,02,,-2.7,,-14.6,,-8.7,,26.7,,0.0,,0.0,,5.0,,3.6,,47,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-03,2022,03,03,,-6.6,,-19.9,,-13.3,,31.3,,0.0,,0.0,,0.0,,0.0,,50,,29,,40,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-04,2022,03,04,,-3.0,,-20.5,,-11.8,,29.8,,0.0,,0.0,,0.0,T,0.0,T,50,,23,,33,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-05,2022,03,05,,-0.6,,-15.3,,-8.0,,26.0,,0.0,,0.0,,0.0,,0.0,,49,,8,,40,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-06,2022,03,06,,14.0,,-2.8,,5.6,,12.4,,0.0,,2.4,,0.0,,2.4,,44,,25,,67,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-07,2022,03,07,,3.2,,-4.2,,-0.5,,18.5,,0.0,,2.8,,8.6,,8.4,,30,,30,,53,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-08,2022,03,08,,-1.6,,-6.6,,-4.1,,22.1,,0.0,,0.0,,0.0,T,0.0,T,31,,29,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-09,2022,03,09,,2.5,,-5.3,,-1.4,,19.4,,0.0,,0.0,,0.0,,0.0,,29,,22,,36,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-10,2022,03,10,,2.6,,-4.4,,-0.9,,18.9,,0.0,,0.0,,0.0,,0.0,,,,22,,37,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-11,2022,03,11,,-0.5,,-4.5,,-2.5,,20.5,,0.0,,0.0,,10.6,,8.4,,26,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-12,2022,03,12,,-2.2,,-9.9,,-6.1,,24.1,,0.0,,0.0,,3.8,,2.5,,41,,30,,60,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-13,2022,03,13,,-3.3,,-12.9,,-8.1,,26.1,,0.0,,0.0,,0.0,T,0.0,T,41,,27,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-14,2022,03,14,,5.3,,-4.1,,0.6,,17.4,,0.0,,0.5,,0.0,T,0.5,,40,,24,,49,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-15,2022,03,15,,2.9,,-3.6,,-0.4,,18.4,,0.0,,0.0,,0.0,,0.0,,36,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-16,2022,03,16,,6.0,,-2.8,,1.6,,16.4,,0.0,,0.0,,0.0,,0.0,,30,,23,,36,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-17,2022,03,17,,15.6,,-0.4,,7.6,,10.4,,0.0,,0.0,,0.0,,0.0,,22,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-18,2022,03,18,,10.4,,2.2,,6.3,,11.7,,0.0,,0.0,T,0.0,,0.0,T,12,,7,,43,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-19,2022,03,19,,4.5,,1.3,,2.9,,15.1,,0.0,,6.8,,0.0,,6.8,,7,,7,,59,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-20,2022,03,20,,7.1,,-0.3,,3.4,,14.6,,0.0,,3.1,,0.0,,3.1,,3,,32,,40,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-21,2022,03,21,,6.0,,-2.9,,1.6,,16.4,,0.0,,0.0,,0.0,,0.0,,2,,28,,53,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-22,2022,03,22,,5.1,,-5.3,,-0.1,,18.1,,0.0,,0.0,,0.0,,0.0,,1,,31,,47,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-23,2022,03,23,,4.8,,-5.8,,-0.5,,18.5,,0.0,,11.0,,0.4,,12.6,,1,,7,,48,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-24,2022,03,24,,10.3,,0.2,,5.3,,12.7,,0.0,,2.0,,0.0,,2.0,,0,T,10,,49,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-25,2022,03,25,,10.3,,1.1,,5.7,,12.3,,0.0,,1.5,,0.0,,1.5,,0,T,24,,36,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-26,2022,03,26,,7.8,,0.6,,4.2,,13.8,,0.0,,0.0,,0.0,T,0.0,T,0,T,29,,31,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-27,2022,03,27,,1.0,,-11.9,,-5.5,,23.5,,0.0,,0.0,,0.0,T,0.0,T,0,T,27,,49,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-28,2022,03,28,,-7.6,,-13.3,,-10.5,,28.5,,0.0,,0.0,,1.4,,0.6,,0,T,29,,44,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-29,2022,03,29,,-0.3,,-10.6,,-5.5,,23.5,,0.0,,0.0,,0.0,,0.0,,0,T,27,,45,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-30,2022,03,30,,3.6,,-10.1,,-3.3,,21.3,,0.0,,1.4,,0.0,T,1.4,,0,T,9,,40,
-75.67,45.32,OTTAWA INTL A,6106001,2022-03-31,2022,03,31,,14.1,,-1.1,,6.5,,11.5,,0.0,,1.2,,0.0,,1.2,,0,T,23,,50,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-01,2022,04,01,,6.3,,-1.6,,2.4,,15.6,,0.0,,0.0,,0.0,T,0.0,T,0,T,31,,55,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-02,2022,04,02,,6.8,,-3.5,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,0,T,31,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-03,2022,04,03,,8.0,,-2.1,,3.0,,15.0,,0.0,,0.7,,0.0,,0.7,,,,5,,44,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-04,2022,04,04,,10.0,,-0.4,,4.8,,13.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-05,2022,04,05,,13.2,,0.0,,6.6,,11.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-06,2022,04,06,,16.1,,2.5,,9.3,,8.7,,0.0,,0.0,T,0.0,,0.0,T,,,7,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-07,2022,04,07,,7.4,,2.5,,5.0,,13.0,,0.0,,31.5,,0.0,,31.5,,,,10,,41,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-08,2022,04,08,,10.0,,0.1,,5.1,,12.9,,0.0,,2.9,,3.8,,5.5,,2,,24,,46,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-09,2022,04,09,,10.7,,-3.0,,3.9,,14.1,,0.0,,0.0,T,0.0,,0.0,T,,,29,,39,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-10,2022,04,10,,8.0,,-0.9,,3.6,,14.4,,0.0,,0.0,T,0.0,,0.0,T,,,27,,49,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-11,2022,04,11,,13.0,,-4.0,,4.5,,13.5,,0.0,,0.2,,0.0,,0.2,,,,17,,33,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-12,2022,04,12,,17.7,,5.9,,11.8,,6.2,,0.0,,0.0,,0.0,,0.0,,,,27,,51,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-13,2022,04,13,,11.4,,5.0,,8.2,,9.8,,0.0,,3.8,,0.0,,3.8,,,,7,,45,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-14,2022,04,14,,15.2,,4.2,,9.7,,8.3,,0.0,,5.7,,0.0,,5.7,,,,24,,53,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-15,2022,04,15,,14.1,,0.9,,7.5,,10.5,,0.0,,1.1,,0.0,,1.1,,,,18,,86,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-16,2022,04,16,,7.7,,-0.7,,3.5,,14.5,,0.0,,0.0,,0.0,,0.0,,,,26,,48,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-17,2022,04,17,,9.0,,-1.9,,3.6,,14.4,,0.0,,0.0,,0.0,,0.0,,,,32,,51,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-18,2022,04,18,,11.7,,-3.8,,4.0,,14.0,,0.0,,3.2,,0.0,,3.2,,,,7,,44,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-19,2022,04,19,,4.2,,0.6,,2.4,,15.6,,0.0,,10.0,,2.2,,12.0,,,,28,,58,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-20,2022,04,20,,8.9,,-0.6,,4.2,,13.8,,0.0,,0.0,,0.0,,0.0,,,,28,,67,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-21,2022,04,21,,13.1,,0.0,,6.6,,11.4,,0.0,,3.0,,0.0,,3.0,,,,20,,55,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-22,2022,04,22,,12.5,,0.0,,6.3,,11.7,,0.0,,0.0,T,0.0,,0.0,T,,,32,,46,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-23,2022,04,23,,10.1,,-1.1,,4.5,,13.5,,0.0,,0.0,T,0.0,,0.0,T,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-24,2022,04,24,,14.6,,4.2,,9.4,,8.6,,0.0,,0.0,,0.0,,0.0,,,,11,,51,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-25,2022,04,25,,20.7,,6.9,,13.8,,4.2,,0.0,,9.6,,0.0,,9.6,,,,28,,44,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-26,2022,04,26,,15.1,,6.0,,10.6,,7.4,,0.0,,2.9,,0.0,,2.9,,,,22,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-27,2022,04,27,,6.0,,-0.9,,2.6,,15.4,,0.0,,1.6,,2.0,,4.4,,,,32,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-28,2022,04,28,,10.3,,-1.5,,4.4,,13.6,,0.0,,0.0,,0.0,,0.0,,,,31,,60,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-29,2022,04,29,,13.4,,-2.1,,5.7,,12.3,,0.0,,0.0,,0.0,,0.0,,,,32,,49,
-75.67,45.32,OTTAWA INTL A,6106001,2022-04-30,2022,04,30,,16.2,,-0.9,,7.7,,10.3,,0.0,,0.0,,0.0,,0.0,,,,34,,37,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-01,2022,05,01,,19.6,,1.8,,10.7,,7.3,,0.0,,0.0,,0.0,,0.0,,,,8,,37,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-02,2022,05,02,,15.4,,7.1,,11.3,,6.7,,0.0,,0.8,,0.0,,0.8,,,,7,,36,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-03,2022,05,03,,14.1,,9.5,,11.8,,6.2,,0.0,,5.0,,0.0,,5.0,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-04,2022,05,04,,18.1,,6.0,,12.1,,5.9,,0.0,,3.1,,0.0,,3.1,,,,33,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-05,2022,05,05,,17.8,,4.1,,11.0,,7.0,,0.0,,0.0,,0.0,,0.0,,,,26,,32,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-06,2022,05,06,,16.8,,5.7,,11.3,,6.7,,0.0,,0.0,,0.0,,0.0,,,,4,,37,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-07,2022,05,07,,15.2,,2.3,,8.8,,9.2,,0.0,,0.0,,0.0,,0.0,,,,5,,46,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-08,2022,05,08,,19.2,,1.1,,10.2,,7.8,,0.0,,0.0,,0.0,,0.0,,,,3,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-09,2022,05,09,,22.9,,3.0,,13.0,,5.0,,0.0,,0.0,,0.0,,0.0,,,,10,,42,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-10,2022,05,10,,25.4,,5.9,,15.7,,2.3,,0.0,,0.0,,0.0,,0.0,,,,11,,33,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-11,2022,05,11,,28.4,,4.6,,16.5,,1.5,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-12,2022,05,12,,30.5,,10.5,,20.5,,0.0,,2.5,,0.0,,0.0,,0.0,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-13,2022,05,13,,30.3,,14.4,,22.4,,0.0,,4.4,,0.0,,0.0,,0.0,,,,20,,41,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-14,2022,05,14,,31.2,,14.2,,22.7,,0.0,,4.7,,0.0,,0.0,,0.0,,,,16,,53,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-15,2022,05,15,,25.4,,15.4,,20.4,,0.0,,2.4,,10.6,,0.0,,10.6,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-16,2022,05,16,,22.4,,10.3,,16.4,,1.6,,0.0,,28.4,,0.0,,28.4,,,,33,,54,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-17,2022,05,17,,15.3,,4.6,,10.0,,8.0,,0.0,,1.4,,0.0,,1.4,,,,31,,63,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-18,2022,05,18,,17.9,,3.8,,10.9,,7.1,,0.0,,0.0,,0.0,,0.0,,,,31,,40,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-19,2022,05,19,,11.7,,1.6,,6.7,,11.3,,0.0,,5.5,,0.0,,5.5,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-20,2022,05,20,,27.6,,7.6,,17.6,,0.4,,0.0,,0.0,T,0.0,,0.0,T,,,19,,48,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-21,2022,05,21,,30.8,,16.5,,23.7,,0.0,,5.7,,15.0,,0.0,,15.0,,,,27,,120,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-22,2022,05,22,,20.8,,7.7,,14.3,,3.7,,0.0,,1.4,,0.0,,1.4,,,,29,,46,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-23,2022,05,23,,17.1,,6.1,,11.6,,6.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-24,2022,05,24,,18.4,,6.0,,12.2,,5.8,,0.0,,0.0,,0.0,,0.0,,,,8,,32,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-25,2022,05,25,,21.2,,4.7,,13.0,,5.0,,0.0,,0.0,T,0.0,,0.0,T,,,8,,31,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-26,2022,05,26,,24.9,,12.6,,18.8,,0.0,,0.8,,2.5,,0.0,,2.5,,,,20,,55,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-27,2022,05,27,,21.5,,17.1,,19.3,,0.0,,1.3,,16.2,,0.0,,16.2,,,,21,,43,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-28,2022,05,28,,22.6,,13.0,,17.8,,0.2,,0.0,,1.1,,0.0,,1.1,,,,31,,41,
-75.67,45.32,OTTAWA INTL A,6106001,2022-05-29,2022,05,29,,26.1,,9.6,,17.9,,0.1,,0.0,,0.0,,0.0,,0.0,,,,25,,34,
